Phase,Start,End,Sharpe,Sortino,Calmar,MaxDD,Commissions,Borrow,N_Trades
TRAIN,1000000.0,183313.05556456978,-0.3292622524484882,-0.27322979042954393,-0.1889015968162838,-0.8815875437735856,253096.7206172138,3126.064462579394,244
TEST,183313.05556456978,140290.30974792215,-0.8578536993077681,-0.652744058867447,-0.32423818420511497,-0.2547067849657094,16073.332060613244,191.3473497774561,84
VALIDATION,140290.30974792215,108357.28388193095,-0.5742041065276026,-0.5050701343596313,-0.22191846187014144,-0.35942709931160177,15101.709165788423,143.31218842638026,104
