Date,Price
2010-01-04,6.424605846405029
2010-01-05,6.435713291168213
2010-01-06,6.333343982696533
2010-01-07,6.321635723114014
2010-01-08,6.363664150238037
2010-01-11,6.307526111602783
2010-01-12,6.235777378082275
2010-01-13,6.323737621307373
2010-01-14,6.287112712860107
2010-01-15,6.182043552398682
2010-01-18,6.182043552398682
2010-01-19,6.455524921417236
2010-01-20,6.356161117553711
2010-01-21,6.246284484863281
2010-01-22,5.936478614807129
2010-01-25,6.096184253692627
2010-01-26,6.1823410987854
2010-01-27,6.240581512451172
2010-01-28,5.9827094078063965
2010-01-29,5.765663146972656
2010-02-01,5.8458170890808105
2010-02-02,5.879740238189697
2010-02-03,5.9809064865112305
2010-02-04,5.765364646911621
2010-02-05,5.867729663848877
2010-02-08,5.827504634857178
2010-02-09,5.8896484375
2010-02-10,5.8575239181518555
2010-02-11,5.964094638824463
2010-02-12,6.015430450439453
2010-02-15,6.015430450439453
2010-02-16,6.106090545654297
2010-02-17,6.080575466156006
2010-02-18,6.091981887817383
2010-02-19,6.054154872894287
2010-02-22,6.016630172729492
2010-02-23,5.915764808654785
2010-02-24,6.023836612701416
2010-02-25,6.064063549041748
2010-02-26,6.142716407775879
2010-03-01,6.273904323577881
2010-03-02,6.26970100402832
2010-03-03,6.284111499786377
2010-03-04,6.325538635253906
2010-03-05,6.572904586791992
2010-03-08,6.57680606842041
2010-03-09,6.695088863372803
2010-03-10,6.749723434448242
2010-03-11,6.769536018371582
2010-03-12,6.802558422088623
2010-03-15,6.719703197479248
2010-03-16,6.738014221191406
2010-03-17,6.728107929229736
2010-03-18,6.744019508361816
2010-03-19,6.671972751617432
2010-03-22,6.747020721435547
2010-03-23,6.85539436340332
2010-03-24,6.885713577270508
2010-03-25,6.804059028625488
2010-03-26,6.931642532348633
2010-03-29,6.976376533508301
2010-03-30,7.080242156982422
2010-03-31,7.054727554321289
2010-04-01,7.083847999572754
2010-04-02,7.083847999572754
2010-04-05,7.1594977378845215
2010-04-06,7.1910176277160645
2010-04-07,7.222840309143066
2010-04-08,7.203327178955078
2010-04-09,7.258563995361328
2010-04-12,7.273571968078613
2010-04-13,7.277776718139648
2010-04-14,7.375642776489258
2010-04-15,7.472609519958496
2010-04-16,7.426976203918457
2010-04-19,7.4170684814453125
2010-04-20,7.342618942260742
2010-04-21,7.781814098358154
2010-04-22,7.999458312988281
2010-04-23,8.13034725189209
2010-04-26,8.090421676635742
2010-04-27,7.866467475891113
2010-04-28,7.853264808654785
2010-04-29,8.064604759216309
2010-04-30,7.837953567504883
2010-05-03,7.995858192443848
2010-05-04,7.765604496002197
2010-05-05,7.684847354888916
2010-05-06,7.392454147338867
2010-05-07,7.0805463790893555
2010-05-10,7.624810695648193
2010-05-11,7.700761318206787
2010-05-12,7.8679728507995605
2010-05-13,7.755995273590088
2010-05-14,7.61970329284668
2010-05-17,7.631715297698975
2010-05-18,7.575877666473389
2010-05-19,7.455195903778076
2010-05-20,7.137583255767822
2010-05-21,7.27447509765625
2010-05-24,7.407764911651611
2010-05-25,7.361534595489502
2010-05-26,7.328211307525635
2010-05-27,7.605597019195557
2010-05-28,7.711566925048828
2010-05-31,7.711566925048828
2010-06-01,7.830149173736572
2010-06-02,7.923811435699463
2010-06-03,7.898891925811768
2010-06-04,7.683950424194336
2010-06-07,7.533246994018555
2010-06-08,7.484917163848877
2010-06-09,7.300889492034912
2010-06-10,7.5203399658203125
2010-06-11,7.610400199890137
2010-06-14,7.633516788482666
2010-06-15,7.795921325683594
2010-06-16,8.022878646850586
2010-06-17,8.161567687988281
2010-06-18,8.22761058807373
2010-06-21,8.110536575317383
2010-06-22,8.221006393432617
2010-06-23,8.134547233581543
2010-06-24,8.075410842895508
2010-06-25,8.006363868713379
2010-06-28,8.054398536682129
2010-06-29,7.6902546882629395
2010-06-30,7.550961017608643
2010-07-01,7.459400653839111
2010-07-02,7.413166046142578
2010-07-05,7.413166046142578
2010-07-06,7.463899612426758
2010-07-07,7.7653045654296875
2010-07-08,7.7478928565979
2010-07-09,7.793826103210449
2010-07-12,7.723876953125
2010-07-13,7.559062480926514
2010-07-14,7.586981773376465
2010-07-15,7.548559188842773
2010-07-16,7.50202751159668
2010-07-19,7.372341632843018
2010-07-20,7.561765670776367
2010-07-21,7.632315635681152
2010-07-22,7.775810241699219
2010-07-23,7.803430080413818
2010-07-26,7.783617973327637
2010-07-27,7.927714824676514
2010-07-28,7.834049224853516
2010-07-29,7.748493671417236
2010-07-30,7.722676753997803
2010-08-02,7.86076545715332
2010-08-03,7.863167762756348
2010-08-04,7.894690036773682
2010-08-05,7.856265544891357
2010-08-06,7.807929039001465
2010-08-09,7.8577656745910645
2010-08-10,7.787519931793213
2010-08-11,7.510732173919678
2010-08-12,7.5587663650512695
2010-08-13,7.478011131286621
2010-08-16,7.434182167053223
2010-08-17,7.564172267913818
2010-08-18,7.597188472747803
2010-08-19,7.501424312591553
2010-08-20,7.494222164154053
2010-08-23,7.378944396972656
2010-08-24,7.202728748321533
2010-08-25,7.2915849685668945
2010-08-26,7.213232040405273
2010-08-27,7.253464221954346
2010-08-30,7.279879570007324
2010-08-31,7.2978901863098145
2010-09-01,7.514933109283447
2010-09-02,7.570172309875488
2010-09-03,7.768306732177734
2010-09-06,7.768306732177734
2010-09-07,7.7394866943359375
2010-09-08,7.8928914070129395
2010-09-09,7.897390842437744
2010-09-10,7.90759801864624
2010-09-13,8.016571044921875
2010-09-14,8.04719352722168
2010-09-15,8.112038612365723
2010-09-16,8.302663803100586
2010-09-17,8.266641616821289
